player_id,league_id,team_id,gp,gs,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts
2,00,0,183,122,5365,934,1937,0.482188,134,339,0.39528,449,548,0.819343,136,400,536,390,226,30,266,445,2451
3,00,0,42,27,1180,132,321,0.411214,7,35,0.2,102,135,0.755555,95,148,243,59,41,10,66,104,373
7,00,0,69,22,1268,189,365,0.517808,0,2,0,163,198,0.823232,108,223,331,76,26,47,98,227,541
9,00,0,70,15,1534,251,555,0.452252,21,79,0.265822,84,103,0.815533,22,88,110,252,73,7,84,162,607
12,00,0,2,0,7,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0
15,00,0,17,0,139,14,38,0.368421,9,23,0.391304,14,16,0.875,3,14,17,4,5,2,1,11,51
17,00,0,145,140,5572,1076,2408,0.446843,141,489,0.288343,670,851,0.787309,359,643,1002,891,278,108,397,486,2963
21,00,0,102,3,1597,154,425,0.362352,57,194,0.293814,90,140,0.642857,28,96,124,234,82,18,94,207,455
22,00,0,104,96,2747,623,1230,0.506504,1,4,0.25,290,350,0.828571,149,391,540,135,51,90,185,419,1537
23,00,0,169,89,4789,442,902,0.490022,7,47,0.148936,190,352,0.539772,626,1050,1676,205,106,97,258,630,1081
24,00,0,3,0,39,4,13,0.307692,1,5,0.2,6,7,0.857142,1,4,5,4,1,0,4,11,15
26,00,0,87,74,1914,241,517,0.46615,0,0,0,95,133,0.714285,140,232,372,136,46,73,145,338,577
28,00,0,3,3,87,12,22,0.545454,0,2,0,9,9,1,0,4,4,6,2,1,1,11,33
29,00,0,11,4,87,10,27,0.37037,0,1,0,2,4,0.5,8,4,12,1,3,8,2,29,22
30,00,0,26,20,504,108,208,0.51923,0,2,0,37,49,0.755102,37,29,66,24,21,13,28,52,253
31,00,0,3,0,8,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2
36,00,0,17,0,440,75,160,0.46875,5,21,0.238095,78,95,0.821052,15,24,39,61,24,2,28,40,233
37,00,0,6,0,43,4,14,0.285714,1,4,0.25,3,4,0.75,0,5,5,6,2,0,1,5,12
38,00,0,20,4,224,29,68,0.42647,9,26,0.346153,1,2,0.5,9,33,42,7,9,10,13,27,68
41,00,0,23,7,172,17,36,0.472222,0,1,0,11,21,0.523809,21,17,38,5,6,1,16,31,45
42,00,0,30,3,264,34,73,0.465753,0,2,0,15,26,0.576923,23,33,56,10,5,2,18,29,83
43,00,0,10,0,131,10,26,0.384615,6,13,0.461538,3,3,1,3,10,13,9,2,2,7,22,29
45,00,0,14,5,342,49,108,0.453703,26,59,0.440677,19,29,0.655172,8,38,46,30,12,3,18,49,143
47,00,0,22,4,381,67,147,0.455782,0,1,0,23,39,0.589743,16,41,57,22,2,5,13,61,157
49,00,0,3,3,70,4,9,0.444444,0,0,0,7,8,0.875,2,16,18,0,0,4,11,6,15
51,00,0,15,14,415,69,187,0.368983,14,49,0.285714,43,45,0.955555,5,18,23,35,7,1,22,37,195
52,00,0,16,8,353,54,123,0.439024,4,12,0.333333,63,74,0.851351,11,24,35,79,27,1,22,50,175
53,00,0,116,57,3054,325,719,0.452016,90,245,0.367346,245,293,0.836177,102,240,342,264,94,16,142,260,985
54,00,0,13,0,74,6,16,0.375,0,0,0,4,9,0.444444,4,9,13,3,2,1,3,10,16
55,00,0,4,0,47,3,8,0.375,0,0,0,3,4,0.75,1,4,5,3,1,1,6,7,9
56,00,0,154,129,5479,855,1938,0.441176,137,435,0.314942,308,436,0.706422,148,427,575,811,216,32,297,434,2155
57,00,0,58,49,1898,179,468,0.382478,45,149,0.302013,149,179,0.832402,60,224,284,219,93,29,116,170,552
61,00,0,41,0,502,55,122,0.450819,0,2,0,27,38,0.710526,32,66,98,13,10,6,22,84,137
63,00,0,4,0,87,7,12,0.583333,0,0,0,5,11,0.454545,7,15,22,8,1,2,2,14,19
64,00,0,167,84,4785,656,1479,0.443542,152,419,0.362768,397,506,0.784584,255,681,936,246,118,126,207,441,1861
65,00,0,4,0,37,5,13,0.384615,0,0,0,1,1,1,1,0,1,2,1,1,1,3,11
67,00,0,21,1,226,23,51,0.45098,0,0,0,23,32,0.71875,18,26,44,5,0,3,10,40,69
70,00,0,128,3,1997,192,451,0.42572,84,227,0.370044,85,97,0.876288,27,83,110,156,63,3,41,142,553
71,00,0,6,1,113,8,19,0.421052,1,2,0.5,4,7,0.571428,1,10,11,26,3,0,7,11,21
72,00,0,36,24,1002,132,325,0.406153,8,29,0.275862,74,93,0.795698,18,67,85,135,42,1,58,89,346
73,00,0,57,15,1669,230,480,0.479166,0,1,0,161,223,0.721973,122,236,358,100,47,70,85,180,621
76,00,0,59,33,1213,225,483,0.465838,26,80,0.325,101,136,0.742647,86,177,263,62,41,26,66,80,577
78,00,0,28,14,547,71,163,0.435582,0,0,0,36,45,0.8,49,99,148,28,16,25,37,79,178
80,00,0,13,10,390,59,138,0.427536,4,18,0.222222,21,46,0.456521,35,64,99,30,8,4,10,39,143
81,00,0,10,0,95,16,33,0.484848,0,0,0,7,9,0.777777,4,10,14,8,2,1,6,10,39
82,00,0,70,0,572,79,172,0.459302,1,2,0.5,19,28,0.678571,41,60,101,25,14,11,28,122,178
84,00,0,62,50,2548,446,1067,0.417994,62,188,0.329787,269,335,0.802985,51,218,269,211,73,27,171,135,1223
85,00,0,9,0,173,17,39,0.435897,10,27,0.37037,8,9,0.888888,4,13,17,20,8,1,12,17,52
87,00,0,101,72,3117,303,586,0.517064,0,1,0,312,444,0.702702,296,666,962,78,40,251,149,259,918
88,00,0,19,0,54,7,16,0.4375,0,0,0,4,8,0.5,8,12,20,3,4,0,1,4,18
89,00,0,76,27,2389,372,945,0.39365,114,352,0.323863,174,231,0.753246,54,167,221,342,64,6,129,179,1032
93,00,0,49,7,821,92,225,0.408888,31,83,0.373493,36,48,0.75,10,36,46,44,12,8,48,83,251
95,00,0,79,10,967,113,241,0.468879,0,2,0,52,71,0.732394,79,115,194,14,17,14,44,157,278
96,00,0,114,59,3338,488,1049,0.465204,57,153,0.372549,399,506,0.788537,143,422,565,296,62,26,225,309,1432
97,00,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
98,00,0,49,49,1766,227,549,0.413479,89,267,0.333333,101,149,0.677852,53,185,238,110,72,29,76,108,644
100,00,0,3,0,19,0,2,0,0,1,0,1,2,0.5,0,1,1,2,0,0,0,2,1
101,00,0,2,0,23,4,8,0.5,0,2,0,1,1,1,1,0,1,3,0,0,5,2,9
103,00,0,9,0,100,16,35,0.457142,5,16,0.3125,5,10,0.5,6,4,10,4,4,1,4,24,42
104,00,0,18,13,432,50,99,0.50505,0,1,0,45,58,0.775862,22,78,100,7,10,34,24,53,145
105,00,0,123,53,4239,508,1222,0.415711,181,513,0.352826,244,324,0.753086,153,456,609,304,164,52,128,285,1441
107,00,0,73,43,1981,403,909,0.443344,71,202,0.351485,134,171,0.783625,110,163,273,92,51,14,97,163,1011
109,00,0,244,116,6824,665,1562,0.425736,261,728,0.358516,348,482,0.721991,410,951,1361,575,276,225,282,717,1939
111,00,0,16,12,513,77,165,0.466666,3,7,0.428571,44,62,0.709677,34,77,111,26,10,14,24,59,201
112,00,0,8,0,78,10,23,0.434782,6,10,0.6,6,10,0.6,10,6,16,5,1,0,5,13,32
114,00,0,4,0,57,12,26,0.461538,0,0,0,8,11,0.727272,3,5,8,2,1,0,2,4,32
116,00,0,8,0,64,4,7,0.571428,2,2,1,2,4,0.5,2,6,8,4,3,0,1,15,12
